Local Date: 2024/03/12 Local Time: 21:13:37
Build info: May  5 2023 16:05:02 r

DEBUGINFO : (21:13:39:987 |00000)    COMMON        9916; (updateDriver.cpp:1054,UpdateDriver::needUpdateGraphicsCardDriver) vendorID:10DE vendorID:1140 needLimitDriverDate:1
DEBUGINFO : (21:13:39:987 |00000)    COMMON        9916; (updateDriver.cpp:1065,UpdateDriver::needUpdateGraphicsCardDriver) installed driver
DEBUGINFO : (21:13:39:988 |00001)    COMMON        9916; (updateDriver.cpp:1074,UpdateDriver::needUpdateGraphicsCardDriver) current driver vendorID:10DE deviceID:1140 2016-12-29
ERROR     : (21:13:40:002 |00013)    COMMON        9916; (nvapi_wrapper.cpp:309,nvapi::NvapiWrapper::NvapiWrapper) load fail dll: nvapi64.dll
DEBUGINFO : (21:13:40:002 |00001)    COMMON        9916; (updateDriver.cpp:1518,UpdateDriver::getDeviceInfo) vendorID:4318 deviceID:4416
DEBUGINFO : (21:13:40:002 |00000)    COMMON        9916; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:40:002 |00000)    COMMON        9916; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:10DE strDeviceID:1140 curVendorID:4318 curDeviceID:4416
DEBUGINFO : (21:13:40:002 |00000)    COMMON        9916; (updateDriver.cpp:2057,UpdateDriver::GetWhiteListDriverConfig) os:10.0.19045 notebook:1 driverType:unknown drivername:NVIDIA GeForce GT 720M strDriverVersion:21.21.13.7654 vendorName:nvidia vendorID:10DE deviceID:1140
DEBUGINFO : (21:13:40:023 |00021)    COMMON        9916; (updateDriver.cpp:1096,UpdateDriver::needUpdateGraphicsCardDriver) index:1 isPrimary:0 curDriverIndex:1 vecDrivers:1 vendorID:10DE deviceID:1140 vendorID:10DE deviceID:1140
DEBUGINFO : (21:13:40:023 |00000)    COMMON        9916; (updateDriver.cpp:1105,UpdateDriver::needUpdateGraphicsCardDriver) limitDate 2018:1:1 curDate 2016:12:29
DEBUGINFO : (21:13:40:023 |00000)    COMMON        9916; (updateDriver.cpp:1115,UpdateDriver::needUpdateGraphicsCardDriver) needQueryConfigList:1
ERROR     : (21:13:40:023 |00000)    COMMON        9916; (nvapi_wrapper.cpp:309,nvapi::NvapiWrapper::NvapiWrapper) load fail dll: nvapi64.dll
DEBUGINFO : (21:13:40:023 |00000)    COMMON        9916; (updateDriver.cpp:1518,UpdateDriver::getDeviceInfo) vendorID:4318 deviceID:4416
DEBUGINFO : (21:13:40:023 |00000)    COMMON        9916; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (21:13:40:023 |00000)    COMMON        9916; (updateDriver.cpp:1540,UpdateDriver::getDeviceInfo) strVendorID:10DE strDeviceID:1140 curVendorID:4318 curDeviceID:4416
DEBUGINFO : (21:13:40:023 |00000)    COMMON        9916; (updateDriver.cpp:1907,UpdateDriver::GetGeneralListDriverConfig) os:10.0.19045 notebook:1 driverType:unknown drivername:NVIDIA GeForce GT 720M vendorName:nvidia vendorID:10DE deviceID:1140
DEBUGINFO : (21:13:40:036 |00013)    COMMON        9916; (updateDriver.cpp:649,UpdateDriver::getUpdateDriverType) update_driver_type:jump_vendor_download_page
DEBUGINFO : (21:13:40:036 |00000)    COMMON        9916; (detectorcore.cpp:511,VEDetectorCore::getNeedUpdateDriverGpuInfo) getVERenderGpuInfo need update ve_vendorID:10DE ve_deviceID:1140
WARNING   : (21:13:40:037 |00001)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:17: warning: unknown Plural-Forms given: 

WARNING   : (21:13:40:046 |00009)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:2405: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:050 |00004)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:3273: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:111 |00061)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:3913: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:121 |00010)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:5609: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:121 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:5643: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:134 |00013)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:8816: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:136 |00002)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:9409: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:139 |00003)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10244: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:139 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10251: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:139 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10258: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:139 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10265: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:139 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10281: warning: msgstr[N] seen, but no Plural-Forms given: 

WARNING   : (21:13:40:139 |00000)    COMMON        9916; (ve_i18n_qt.cpp:62,i18n_logger) [I18n] warning: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po/ru-RU.po:10291: warning: msgstr[N] seen, but no Plural-Forms given: 

