Local Date: 2024/03/15 Local Time: 19:58:53
Build info: May  5 2023 16:05:02 r

DEBUGINFO : (19:58:53:214 |99999)    COMMON        2180; (ve_i18n_qt.cpp:97,QtI18n::init) [I18n] i18n locate_dir: C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/Resources/po
DEBUGINFO : (19:58:53:214 |00000)    COMMON        2180; (ve_i18n_mgr.cpp:75,I18n::LanguageMgr::setLocalLanCode) [I18n] set Local lan code: en
DEBUGINFO : (19:58:53:215 |00000)    COMMON        2180; (ve_i18n_qt.cpp:121,QtI18n::set_language) [I18n] info: ru-RU
DEBUGINFO : (19:58:53:296 |00081)    COMMON        2180; (sscronet_engine.cpp:260,SscronetEngine::init) SETTINGS_DIGITAL_REGISTRY not match
DEBUGINFO : (19:58:53:374 |00078)                  6512; init settings context by once
DEBUGINFO : (19:58:53:375 |00001)    COMMON        2180; (detectorConfig.cpp:54,DetectorConfig::registerSettingsCallback) request settings
DEBUGINFO : (19:58:53:375 |00000)                  6512; init settings by once
DEBUGINFO : (19:58:53:376 |00001)                  6512; init settings by once andy begin request
DEBUGINFO : (19:58:53:376 |00000)                  6512; start request
DEBUGINFO : (19:58:53:376 |00000)                  9856; request settings begin
DEBUGINFO : (19:58:53:410 |00034)    COMMON        2180; (detectorcore.cpp:171,VEDetectorCore::reportLaunch) enter reportLaunch
DEBUGINFO : (19:58:53:410 |00000)    COMMON        2180; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
DEBUGINFO : (19:58:53:410 |00000)    COMMON        2180; (updateDriver.cpp:1401,UpdateDriver::getMainMonitorDeviceID) deviceID:PCI\VEN_8086&DEV_0156&SUBSYS_500317AA&REV_09
DEBUGINFO : (19:58:53:411 |00001)    COMMON        2180; (updateDriver.cpp:1249,UpdateDriver::generateGraphcisCardInfo) SetupDiEnumDeviceInfo deviceIndex=1
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1351,UpdateDriver::CM_Get_DevNode_Property_Filetime) DriverDate : 2016/12/29
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1330,UpdateDriver::CM_Get_DevNode_Property_String) DriverVersion : 21.21.13.7654
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1330,UpdateDriver::CM_Get_DevNode_Property_String) DriverDesc : NVIDIA GeForce GT 720M
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1330,UpdateDriver::CM_Get_DevNode_Property_String) DriverProvider : NVIDIA
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1249,UpdateDriver::generateGraphcisCardInfo) SetupDiEnumDeviceInfo deviceIndex=2
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1351,UpdateDriver::CM_Get_DevNode_Property_Filetime) DriverDate : 2015/7/10
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1330,UpdateDriver::CM_Get_DevNode_Property_String) DriverVersion : 10.18.10.4252
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1330,UpdateDriver::CM_Get_DevNode_Property_String) DriverDesc : Intel(R) HD Graphics
DEBUGINFO : (19:58:53:411 |00000)    COMMON        2180; (updateDriver.cpp:1330,UpdateDriver::CM_Get_DevNode_Property_String) DriverProvider : Intel Corporation
DEBUGINFO : (19:58:53:412 |00001)    COMMON        2180; (updateDriver.cpp:1312,UpdateDriver::generateGraphcisCardInfo) duration:1
DEBUGINFO : (19:58:53:412 |00000)    COMMON        2180; (updateDriver.cpp:1314,UpdateDriver::generateGraphcisCardInfo) leave
DEBUGINFO : (19:58:54:458 |01046)                  9856; request settings success
DEBUGINFO : (19:58:54:458 |00000)                  9856; handle success
DEBUG     : (19:58:54:469 |00011)                  9856; update settings json...
DEBUGINFO : (19:58:54:469 |00000)                  9856; 1.mark dirty & update cache json string
DEBUGINFO : (19:58:54:473 |00004)                  9856; 2,update cache json string success & update cache json
DEBUGINFO : (19:58:54:486 |00013)                  9856; 3.update cache json file
DEBUGINFO : (19:58:54:692 |00206)                  9856; request next by success, before success_delay_time_ = 3600000
DEBUGINFO : (19:58:54:693 |00001)    COMMON        2180; (DetectorCoreApp.cpp:60,DetectorCoreApp::onUpdateSetting) onUpdateSetting success:1
DEBUGINFO : (19:58:54:693 |00000)    COMMON        2180; (VEDetectorSettings.cpp:105,VEDetectorSettings::GpuBugListSwitch) gpu_bug_list_switch : 1
DEBUGINFO : (19:58:54:693 |00000)    COMMON        2180; (VEDetectorSettings.cpp:89,VEDetectorSettings::GetTosDomain) cur domain:capcutpc-packages-us
DEBUGINFO : (19:58:54:694 |00001)    COMMON        2180; (gpuBugListMgr.cpp:25,GpuBugListMgr::Init) gpu_bug_list_config_url_:https://lf16-capcut.faceueditorv.com/obj/capcutpc-packages-sg/driver/gpu_driver_bug_list.json
DEBUGINFO : (19:58:54:694 |00000)    COMMON        2180; (gpuBugListMgr.cpp:75,GpuBugListMgr::ReqConfigFile_) download gpu_driver_bug_list start url:https://lf16-capcut.faceueditorv.com/obj/capcutpc-packages-sg/driver/gpu_driver_bug_list.json path:C:/Users/Lenovo/AppData/Local/CapCut/User Data/Download/gpu_driver_bug_list.json
DEBUGINFO : (19:58:54:694 |00000)    COMMON        2180; (detector.cpp:1293,DetectorManager::CheckAllSimulate) CheckAllSimulate enter
DEBUGINFO : (19:58:54:695 |00001)    COMMON        2180; (detectorcore.cpp:456,VEDetectorCore::getVERenderGpuInfo) dll path:C:/Users/Lenovo/AppData/Local/CapCut/Apps/2.2.0.491/ttvideoeditor.dll
DEBUGINFO : (19:58:55:235 |00540)    COMMON        2180; (detectorcore.cpp:492,VEDetectorCore::getVERenderGpuInfo) duration:539
DEBUGINFO : (19:58:55:235 |00000)    COMMON        2180; (detectorcore.cpp:508,VEDetectorCore::getNeedUpdateDriverGpuInfo) getVERenderGpuInfo ve_vendorID:10DE ve_deviceID:1140
DEBUGINFO : (19:58:55:235 |00000)    COMMON        2180; (updateDriver.cpp:1226,UpdateDriver::generateGraphcisCardInfo) enter
